Date,Value,Series,labels
1991-07-01T00:00:00,13,15 to 24 years,1991-07-01T00:00:00
1991-08-01T00:00:00,11.9,15 to 24 years,1991-08-01T00:00:00
1991-09-01T00:00:00,11.1,15 to 24 years,1991-09-01T00:00:00
1991-10-01T00:00:00,10.9,15 to 24 years,1991-10-01T00:00:00
1991-11-01T00:00:00,11.8,15 to 24 years,1991-11-01T00:00:00
1991-12-01T00:00:00,12.2,15 to 24 years,1991-12-01T00:00:00
1992-01-01T00:00:00,12.8,15 to 24 years,1992-01-01T00:00:00
1992-02-01T00:00:00,13.1,15 to 24 years,1992-02-01T00:00:00
1992-03-01T00:00:00,12.6,15 to 24 years,1992-03-01T00:00:00
1992-04-01T00:00:00,13.3,15 to 24 years,1992-04-01T00:00:00
1992-05-01T00:00:00,13.4,15 to 24 years,1992-05-01T00:00:00
1992-06-01T00:00:00,13,15 to 24 years,1992-06-01T00:00:00
1992-07-01T00:00:00,13,15 to 24 years,1992-07-01T00:00:00
1992-08-01T00:00:00,14.2,15 to 24 years,1992-08-01T00:00:00
1992-09-01T00:00:00,14.2,15 to 24 years,1992-09-01T00:00:00
1992-10-01T00:00:00,14.2,15 to 24 years,1992-10-01T00:00:00
1992-11-01T00:00:00,16.1,15 to 24 years,1992-11-01T00:00:00
1992-12-01T00:00:00,15.8,15 to 24 years,1992-12-01T00:00:00
1993-01-01T00:00:00,12.6,15 to 24 years,1993-01-01T00:00:00
1993-02-01T00:00:00,13.5,15 to 24 years,1993-02-01T00:00:00
1993-03-01T00:00:00,14,15 to 24 years,1993-03-01T00:00:00
1993-04-01T00:00:00,14.8,15 to 24 years,1993-04-01T00:00:00
1993-05-01T00:00:00,12.5,15 to 24 years,1993-05-01T00:00:00
1993-06-01T00:00:00,13.3,15 to 24 years,1993-06-01T00:00:00
1993-07-01T00:00:00,12.8,15 to 24 years,1993-07-01T00:00:00
1993-08-01T00:00:00,12,15 to 24 years,1993-08-01T00:00:00
1993-09-01T00:00:00,14.2,15 to 24 years,1993-09-01T00:00:00
1993-10-01T00:00:00,13.4,15 to 24 years,1993-10-01T00:00:00
1993-11-01T00:00:00,12.7,15 to 24 years,1993-11-01T00:00:00
1993-12-01T00:00:00,13.2,15 to 24 years,1993-12-01T00:00:00
1994-01-01T00:00:00,14.6,15 to 24 years,1994-01-01T00:00:00
1994-02-01T00:00:00,13.1,15 to 24 years,1994-02-01T00:00:00
1994-03-01T00:00:00,13.5,15 to 24 years,1994-03-01T00:00:00
1994-04-01T00:00:00,12.2,15 to 24 years,1994-04-01T00:00:00
1994-05-01T00:00:00,13,15 to 24 years,1994-05-01T00:00:00
1994-06-01T00:00:00,14,15 to 24 years,1994-06-01T00:00:00
1994-07-01T00:00:00,13,15 to 24 years,1994-07-01T00:00:00
1994-08-01T00:00:00,12.6,15 to 24 years,1994-08-01T00:00:00
1994-09-01T00:00:00,11.5,15 to 24 years,1994-09-01T00:00:00
1994-10-01T00:00:00,11.9,15 to 24 years,1994-10-01T00:00:00
1994-11-01T00:00:00,12.2,15 to 24 years,1994-11-01T00:00:00
1994-12-01T00:00:00,11,15 to 24 years,1994-12-01T00:00:00
1995-01-01T00:00:00,10.9,15 to 24 years,1995-01-01T00:00:00
1995-02-01T00:00:00,10.9,15 to 24 years,1995-02-01T00:00:00
1995-03-01T00:00:00,11.4,15 to 24 years,1995-03-01T00:00:00
1995-04-01T00:00:00,12.1,15 to 24 years,1995-04-01T00:00:00
1995-05-01T00:00:00,13.1,15 to 24 years,1995-05-01T00:00:00
1995-06-01T00:00:00,12.2,15 to 24 years,1995-06-01T00:00:00
1995-07-01T00:00:00,11.8,15 to 24 years,1995-07-01T00:00:00
1995-08-01T00:00:00,11.4,15 to 24 years,1995-08-01T00:00:00
1995-09-01T00:00:00,11.2,15 to 24 years,1995-09-01T00:00:00
1995-10-01T00:00:00,10.7,15 to 24 years,1995-10-01T00:00:00
1995-11-01T00:00:00,11.7,15 to 24 years,1995-11-01T00:00:00
1995-12-01T00:00:00,13.2,15 to 24 years,1995-12-01T00:00:00
1996-01-01T00:00:00,12.7,15 to 24 years,1996-01-01T00:00:00
1996-02-01T00:00:00,11.9,15 to 24 years,1996-02-01T00:00:00
1996-03-01T00:00:00,11.2,15 to 24 years,1996-03-01T00:00:00
1996-04-01T00:00:00,9.3,15 to 24 years,1996-04-01T00:00:00
1996-05-01T00:00:00,12,15 to 24 years,1996-05-01T00:00:00
